Epoch,Train_Loss,Val_Loss,Dice_Score,clDice_Score,Combined_Score,Dice_Std,clDice_std,Best_Score,Time
0,4.706501,N/A,0.069427,0.279877,0.174652,0.030352,0.026544,0.174652,233.81
1,2.905579,N/A,0.077647,0.487295,0.282471,0.024928,0.017004,0.282471,444.38
2,2.546387,N/A,0.074809,0.509336,0.292073,0.024247,0.013138,0.292073,506.62
3,2.394395,N/A,0.078413,0.509195,0.293804,0.025808,0.014665,0.293804,512.01
4,2.055610,N/A,0.784494,0.803959,0.794227,0.117509,0.029608,0.794227,516.32
5,1.530188,N/A,0.804171,0.820380,0.812276,0.104032,0.028135,0.812276,514.33
6,1.434192,N/A,0.672642,0.701598,0.687120,0.187543,0.041495,0.812276,504.19
7,1.359576,N/A,0.838022,0.845047,0.841534,0.102389,0.026713,0.841534,507.56
8,1.281999,N/A,0.841299,0.846228,0.843764,0.092179,0.029095,0.843764,503.32
9,1.263438,N/A,0.734415,0.765126,0.749771,0.200446,0.043096,0.843764,501.85
10,1.256299,N/A,0.849163,0.852768,0.850965,0.106764,0.031280,0.850965,496.91
11,1.184432,N/A,0.832371,0.835676,0.834024,0.103414,0.028821,0.850965,494.60
12,1.166921,N/A,0.856103,0.856472,0.856288,0.102361,0.023794,0.856288,496.16
13,1.177796,N/A,0.853987,0.854922,0.854454,0.097642,0.026866,0.856288,492.59
14,1.153541,N/A,0.862978,0.863798,0.863388,0.092946,0.024003,0.863388,490.97
15,1.113478,N/A,0.867377,0.867978,0.867677,0.096109,0.027967,0.867677,492.77
16,1.126724,N/A,0.866692,0.872554,0.869623,0.099761,0.026341,0.869623,491.20
17,1.072236,N/A,0.874057,0.874903,0.874480,0.085552,0.022840,0.874480,490.81
18,1.079929,N/A,0.857932,0.858864,0.858398,0.099893,0.027619,0.874480,484.74
19,1.098891,N/A,0.756596,0.769313,0.762954,0.189221,0.047856,0.874480,485.37
20,1.059028,N/A,0.868109,0.867529,0.867819,0.093433,0.025534,0.874480,483.18
21,1.081854,N/A,0.847590,0.852330,0.849960,0.119278,0.028529,0.874480,486.01
22,1.018771,N/A,0.877954,0.879380,0.878667,0.094172,0.023913,0.878667,480.80
23,1.008794,N/A,0.883146,0.884440,0.883793,0.080791,0.022412,0.883793,482.48
24,1.008566,N/A,0.862963,0.863040,0.863002,0.100236,0.026549,0.883793,482.67
25,1.028716,N/A,0.881074,0.882764,0.881919,0.088938,0.026777,0.883793,476.29
26,1.008539,N/A,0.870356,0.873408,0.871882,0.092486,0.028633,0.883793,478.42
27,1.037366,N/A,0.872959,0.875020,0.873989,0.096814,0.025269,0.883793,473.47
28,0.989565,N/A,0.874250,0.876237,0.875244,0.090728,0.024283,0.883793,476.23
29,0.967256,N/A,0.884818,0.886064,0.885441,0.086116,0.024655,0.885441,480.07
30,0.991683,N/A,0.808385,0.821258,0.814821,0.181664,0.040374,0.885441,476.78
31,0.971394,N/A,0.890062,0.893031,0.891547,0.081740,0.022983,0.891547,477.70
32,0.960146,N/A,0.885056,0.889450,0.887253,0.082828,0.025639,0.891547,477.36
33,0.943658,N/A,0.883477,0.888352,0.885914,0.086667,0.026829,0.891547,475.89
34,0.939690,N/A,0.882297,0.882767,0.882532,0.086230,0.025011,0.891547,474.84
35,0.916985,N/A,0.887877,0.889643,0.888760,0.089272,0.022573,0.891547,469.77
36,0.927902,N/A,0.890130,0.894113,0.892121,0.088369,0.022404,0.892121,478.64
37,0.913947,N/A,0.891197,0.892562,0.891880,0.083115,0.020220,0.892121,487.89
38,0.929842,N/A,0.884388,0.885590,0.884989,0.095059,0.027494,0.892121,491.56
39,0.907423,N/A,0.884816,0.886583,0.885699,0.081147,0.023751,0.892121,492.57
40,0.909692,N/A,0.892046,0.893430,0.892738,0.079619,0.020498,0.892738,498.11
41,0.893807,N/A,0.887799,0.889358,0.888578,0.083009,0.022779,0.892738,503.72
