Epoch,Train_Loss,Val_Loss,Dice_Score,clDice_Score,Combined_Score,Dice_Std,clDice_std,Best_Score,Time
0,3.775792,N/A,0.599979,N/A,N/A,0.203041,N/A,0.599979,195.03
1,2.213755,N/A,0.770328,N/A,N/A,0.119285,N/A,0.770328,339.72
2,1.929934,N/A,0.795970,N/A,N/A,0.122239,N/A,0.795970,389.80
3,1.750119,N/A,0.815212,N/A,N/A,0.111462,N/A,0.815212,398.55
4,1.649739,N/A,0.814851,N/A,N/A,0.112376,N/A,0.815212,398.25
5,1.643067,N/A,0.827205,N/A,N/A,0.105842,N/A,0.827205,392.70
6,1.525797,N/A,0.845096,N/A,N/A,0.109456,N/A,0.845096,395.96
7,1.431692,N/A,0.854714,N/A,N/A,0.103073,N/A,0.854714,396.81
8,1.406512,N/A,0.854746,N/A,N/A,0.103158,N/A,0.854746,393.09
9,1.348038,N/A,0.840482,N/A,N/A,0.101727,N/A,0.854746,392.36
10,1.305913,N/A,0.861654,N/A,N/A,0.096707,N/A,0.861654,391.90
11,1.274471,N/A,0.866822,N/A,N/A,0.097537,N/A,0.866822,394.13
12,1.272605,N/A,0.761458,N/A,N/A,0.197935,N/A,0.866822,391.62
13,1.311724,N/A,0.870871,N/A,N/A,0.092801,N/A,0.870871,391.32
14,1.284445,N/A,0.863056,N/A,N/A,0.093374,N/A,0.870871,389.61
15,1.239266,N/A,0.868455,N/A,N/A,0.092470,N/A,0.870871,394.43
16,1.199081,N/A,0.861422,N/A,N/A,0.096781,N/A,0.870871,393.51
17,1.238833,N/A,0.872129,N/A,N/A,0.088617,N/A,0.872129,396.40
18,1.201389,N/A,0.862876,N/A,N/A,0.109787,N/A,0.872129,395.06
19,1.210096,N/A,0.872604,N/A,N/A,0.096235,N/A,0.872604,395.23
20,1.153929,N/A,0.880547,N/A,N/A,0.088145,N/A,0.880547,392.31
21,1.108613,N/A,0.881630,N/A,N/A,0.084582,N/A,0.881630,391.32
22,1.127246,N/A,0.882458,N/A,N/A,0.088500,N/A,0.882458,396.19
23,1.106453,N/A,0.881863,N/A,N/A,0.088609,N/A,0.882458,388.31
24,1.088935,N/A,0.884652,N/A,N/A,0.085281,N/A,0.884652,384.54
25,1.086511,N/A,0.882851,N/A,N/A,0.086830,N/A,0.884652,382.04
26,1.081739,N/A,0.883653,N/A,N/A,0.086399,N/A,0.884652,381.04
27,1.111644,N/A,0.883895,N/A,N/A,0.092015,N/A,0.884652,379.27
28,1.066570,N/A,0.886407,N/A,N/A,0.085405,N/A,0.886407,384.22
29,1.083921,N/A,0.889489,N/A,N/A,0.085004,N/A,0.889489,383.70
30,1.106279,N/A,0.881049,N/A,N/A,0.086711,N/A,0.889489,386.32
31,1.096682,N/A,0.887619,N/A,N/A,0.091816,N/A,0.889489,387.41
32,1.057334,N/A,0.876439,N/A,N/A,0.095608,N/A,0.889489,386.77
33,1.025495,N/A,0.889074,N/A,N/A,0.082206,N/A,0.889489,384.30
34,1.021802,N/A,0.883049,N/A,N/A,0.088831,N/A,0.889489,385.75
35,1.060632,N/A,0.889158,N/A,N/A,0.090967,N/A,0.889489,386.45
36,1.023149,N/A,0.888603,N/A,N/A,0.084636,N/A,0.889489,381.16
37,1.003155,N/A,0.857259,N/A,N/A,0.138578,N/A,0.889489,387.26
38,1.059803,N/A,0.867111,N/A,N/A,0.105759,N/A,0.889489,383.20
39,1.003455,N/A,0.890715,N/A,N/A,0.077130,N/A,0.890715,386.37
40,0.992108,N/A,0.888472,N/A,N/A,0.084042,N/A,0.890715,388.41
41,1.012693,N/A,0.889558,N/A,N/A,0.083932,N/A,0.890715,392.60
42,0.995212,N/A,0.885666,N/A,N/A,0.084867,N/A,0.890715,396.05
43,1.007603,N/A,0.885326,N/A,N/A,0.086834,N/A,0.890715,396.62
44,1.004481,N/A,0.888910,N/A,N/A,0.079790,N/A,0.890715,396.61
45,0.969634,N/A,0.892729,N/A,N/A,0.080419,N/A,0.892729,400.70
46,0.971857,N/A,0.898038,N/A,N/A,0.078224,N/A,0.898038,402.00
47,0.965369,N/A,0.894756,N/A,N/A,0.082476,N/A,0.898038,403.08
48,0.959491,N/A,0.892337,N/A,N/A,0.084714,N/A,0.898038,404.88
49,0.938374,N/A,0.896719,N/A,N/A,0.080831,N/A,0.898038,404.90
50,0.952033,1.118723,0.876765,N/A,N/A,0.093873,N/A,0.898038,405.56
51,0.985105,N/A,0.891916,N/A,N/A,0.077884,N/A,0.898038,405.00
52,0.955479,N/A,0.898181,N/A,N/A,0.082400,N/A,0.898181,409.13
53,0.927099,N/A,0.895503,N/A,N/A,0.078359,N/A,0.898181,402.70
54,0.927577,N/A,0.892554,N/A,N/A,0.082556,N/A,0.898181,408.30
55,0.915475,N/A,0.896416,N/A,N/A,0.078670,N/A,0.898181,410.07
56,0.925557,N/A,0.898832,N/A,N/A,0.078950,N/A,0.898832,409.19
57,0.926536,N/A,0.888553,N/A,N/A,0.093992,N/A,0.898832,408.89
58,0.935788,N/A,0.890747,N/A,N/A,0.086505,N/A,0.898832,409.22
59,0.903936,N/A,0.897168,N/A,N/A,0.078240,N/A,0.898832,408.16
60,0.908884,0.954152,0.899055,N/A,N/A,0.074280,N/A,0.899055,406.04
61,0.906844,N/A,0.895233,N/A,N/A,0.081571,N/A,0.899055,406.58
62,0.891543,N/A,0.898583,N/A,N/A,0.079654,N/A,0.899055,408.66
63,0.881644,N/A,0.899659,N/A,N/A,0.072950,N/A,0.899659,412.97
64,0.902677,N/A,0.897319,N/A,N/A,0.078699,N/A,0.899659,408.42
65,0.906392,N/A,0.873299,N/A,N/A,0.100478,N/A,0.899659,411.25
66,0.915713,N/A,0.900978,N/A,N/A,0.076686,N/A,0.900978,412.52
67,0.882612,N/A,0.891510,N/A,N/A,0.083126,N/A,0.900978,414.32
68,0.877632,N/A,0.900096,N/A,N/A,0.079415,N/A,0.900978,413.78
69,0.858361,N/A,0.894643,N/A,N/A,0.085791,N/A,0.900978,413.67
70,0.880434,0.946144,0.899529,N/A,N/A,0.076882,N/A,0.900978,414.14
71,0.849673,N/A,0.895369,N/A,N/A,0.078746,N/A,0.900978,413.91
72,0.850057,N/A,0.381692,N/A,N/A,0.339064,N/A,0.900978,412.77
73,0.965473,N/A,0.894972,N/A,N/A,0.083940,N/A,0.900978,414.09
74,0.868499,N/A,0.899857,N/A,N/A,0.075791,N/A,0.900978,412.74
75,0.856103,N/A,0.899296,N/A,N/A,0.076504,N/A,0.900978,415.39
76,0.843133,N/A,0.898539,N/A,N/A,0.075009,N/A,0.900978,416.39
77,0.846583,N/A,0.897551,N/A,N/A,0.076751,N/A,0.900978,413.94
78,0.858583,N/A,0.900333,N/A,N/A,0.081228,N/A,0.900978,415.45
79,0.837048,N/A,0.898129,N/A,N/A,0.079425,N/A,0.900978,417.21
80,0.835974,0.949272,0.898214,N/A,N/A,0.079452,N/A,0.900978,414.97
81,0.852006,N/A,0.893790,N/A,N/A,0.075697,N/A,0.900978,414.23
82,0.837045,N/A,0.900130,N/A,N/A,0.080305,N/A,0.900978,417.01
83,0.825565,N/A,0.897722,N/A,N/A,0.078171,N/A,0.900978,413.27
84,0.824158,N/A,0.900494,N/A,N/A,0.078626,N/A,0.900978,416.21
85,0.843339,0.943229,0.900320,N/A,N/A,0.075886,N/A,0.900978,413.40
86,0.831316,N/A,0.903482,N/A,N/A,0.070867,N/A,0.903482,415.63
87,0.819827,N/A,0.900656,N/A,N/A,0.072041,N/A,0.903482,415.27
88,0.820669,N/A,0.894067,N/A,N/A,0.093435,N/A,0.903482,417.72
89,0.821508,N/A,0.900949,N/A,N/A,0.072989,N/A,0.903482,413.52
90,0.803425,0.945163,0.898741,N/A,N/A,0.070452,N/A,0.903482,416.75
91,0.794846,0.930137,0.901799,N/A,N/A,0.074605,N/A,0.903482,416.58
92,0.805663,0.939239,0.900450,N/A,N/A,0.076104,N/A,0.903482,416.81
